GEITje_corr_score,GEITje_wrong_score,GEITje_right
-2.8925572570879012,-3.08158291131258,True
-2.166492737014778,-2.899792294949293,True
-3.5028294126192727,-4.598770158631461,True
-3.1972464909777045,-3.269834667444229,True
-1.9215479040497236,-2.570484722731635,True
-2.1950753295624796,-2.996808904053813,True
-3.6159968668594957,-3.7818883901292626,True
-2.600499030926989,-3.0014991595409812,True
-2.710749796405435,-3.544693873687224,True
-3.862809329351876,-4.050767213106155,True
-2.9742899518460035,-3.441114641726017,True
-2.915170105329404,-3.308412307407707,True
-2.8765800449376306,-3.420415798574686,True
-3.29803292805122,-3.63291715555401,True
-1.9608340768318158,-2.2504610568430508,True
-1.9938317485464117,-2.190366137845558,True
-1.9215479040497236,-2.609921282797586,True
-2.1931949506083934,-2.5212960438137606,True
-2.1604503833581337,-2.4709631325677037,True
-2.023213785896587,-2.6285626107710414,True
-2.5910930379011137,-3.170982204703614,True
-2.3058426982651534,-3.208238358010671,True
-2.0659676376574985,-2.4802467265667825,True
-4.071685031056404,-4.532233536243439,True
-3.6984576757531613,-3.9169015365519693,True
-3.6984576757531613,-4.149014408141374,True
-4.041384530586323,-4.6802452728152275,True
-4.041384530586323,-4.620778755346934,True
-3.3011848724454467,-3.4136490789694816,True
-2.434445474035535,-2.4434005307187667,True
-1.8657632654412737,-2.095249473796381,True
-3.3011848724454467,-4.012082077053492,True
-2.618961839849362,-3.378021842075719,True
-1.7424706955951277,-2.4674291176100573,True
-1.7334266176912934,-1.7438572395825758,True
-2.6459048411197728,-3.479880687263277,True
-2.6317276167553953,-2.890432215796318,True
-3.0123415858251974,-3.5055729924701153,True
-3.2976679009734653,-3.554544649401214,True
-2.009211711568631,-2.2068101774127475,True
-2.437961255686241,-2.4235359115092168,False
-2.1709310665200974,-2.3447034300882548,True
-2.5960145904621945,-2.380437108672385,False
-2.6317276167553953,-3.868338514248737,True
-3.0123415858251974,-3.8196115208427526,True
-3.2976679009734653,-4.224214021219975,True
-2.6750395617447795,-3.1110722474986687,True
-2.423800475115422,-2.9669564338866623,True
-3.0204144006388054,-2.699020182408276,False
-2.710456338012591,-3.1668959045888516,True
-2.735962514288812,-3.4427958565617076,True
-2.9064779634407554,-3.2526377672853415,True
-2.8414451015608697,-3.0002865205363682,True
-3.5223277679247342,-3.7980030296370386,True
