BERTje_corr_score,BERTje_wrong_score,BERTje_right
-6.524230868866046,-5.5895853361913135,False
-5.979321358376183,-5.306517962898527,False
-7.033060398751071,-10.179989129304886,True
-8.489100477471947,-8.524471985921263,True
-3.9960440193885005,-3.5842623700049114,False
-3.761262166837696,-4.464355688914656,True
-5.585879952879623,-5.662386976612302,True
-3.6701786744365976,-3.6715905023350692,True
-4.73658587038517,-8.18628161980046,True
-7.797119375038892,-8.696983559429645,True
-6.895505401704993,-8.664947832269329,True
-4.2738349586725235,-5.15160827504264,True
-6.70455354181203,-7.445027733390981,True
-7.941634193062782,-6.498805137909949,False
-5.256821695045801,-6.949854644597508,True
-4.141113686789241,-5.826642047613859,True
-3.9960440193885005,-4.875612288923003,True
-4.119678004458547,-5.077253806730733,True
-3.876713907928206,-4.791032233089209,True
-4.976137955003651,-6.805488613700228,True
-4.561618368141353,-6.183281902889056,True
-5.401062078773975,-7.329720272467687,True
-3.453141850574563,-4.018948795894782,True
-5.189209626159734,-7.19976861609353,True
-7.162616723882301,-8.530440675094724,True
-7.162616723882301,-6.883165680210698,False
-6.337368379008364,-9.643994867801666,True
-6.337368379008364,-8.228032811375504,True
-5.645051305834204,-6.327497484721244,True
-5.156026898417622,-5.65483650430623,True
-2.5840431295663997,-2.5260180873686777,False
-5.645051305834204,-5.860041457600891,True
-6.602395036024973,-8.313949696852692,True
-3.2078217467933428,-5.328345296392217,True
-5.613695052614073,-6.284261814370337,True
-6.056393387710808,-6.554452108452097,True
-5.046602081600577,-5.920014152862132,True
-6.365201476588846,-6.1279054248705505,False
-7.072217979553071,-7.439717854965817,True
-4.719528385666005,-4.8019493682707735,True
-6.016072011656231,-6.844203787687649,True
-5.686072244813356,-6.089036188243578,True
-5.596763034661611,-6.197245616543417,True
-5.046602081600577,-5.420673666987568,True
-6.365201476588846,-5.222841876728291,False
-7.072217979553071,-6.42770435816298,False
-6.063008893746883,-7.894481078189399,True
-7.241960995947011,-8.411069539042987,True
-5.353930603014305,-5.51051408238709,True
-5.120748371072113,-5.997787357494235,True
-5.037872570208632,-7.9048204608261585,True
-4.887423534360197,-6.061562150716782,True
-4.2124242636868185,-5.112852447173175,True
-4.032525165078159,-7.313088874247941,True
-4.529926234712968,-7.630356502465227,True
-4.59781401604414,-7.758822524750775,True
-4.201378753470878,-7.330338815083871,True
-4.194024643062481,-7.212035918608308,True
-5.348639777646615,-6.809868638488379,True
-3.7196461730326216,-5.820426680147648,True
-3.4055971205234528,-6.410376716548433,True
-5.491475712707532,-7.365493169699151,True
-4.50244583699264,-5.738488239960538,True
-4.4658558941446245,-5.710417568217963,True
-3.958796142755697,-6.225955295806321,True
-4.285374772176146,-5.542182334388296,True
-3.558520832670183,-4.611303612589836,True
-3.558520832670183,-4.122402857989073,True
-4.753118039907089,-5.451348985146199,True
-3.4002855735617534,-5.296354731012668,True
-5.400428105844185,-4.787156661739573,False
-4.090661829145735,-5.052901453454979,True
-3.8136167499110076,-4.998018282527725,True
-5.881720571468274,-7.2201676720922645,True
-5.6788177369878845,-6.797236465538542,True
-2.985786337638274,-4.521795922092029,True
-3.767733754664033,-5.559419911510001,True
-3.358612766692204,-3.859100615978241,True
-3.554677673273117,-5.540530808153562,True
-5.15884185982092,-6.826273757160049,True
-4.2424668184151715,-5.4245839374647895,True
-4.131919948455806,-5.53563099137197,True
-3.718262538095587,-5.342479638888368,True
-5.433884440300365,-4.068030822449005,False
-5.433884440300365,-4.857961796653958,False
-5.433884440300365,-4.103068519383669,False
