XLMRoberta_corr_score,XLMRoberta_wrong_score,XLMRoberta_right
-2.5706804389428726,-1.5401200297581252,False
-1.6899468087221976,-1.3936733317888057,False
-4.48846225660444,-4.519151257003874,True
-2.724017679609824,-2.4408280652045504,False
-0.5342916640881661,-0.5975251590037564,True
-1.0998463221694692,-0.3317627770011313,False
-4.021288458968047,-4.274098971943286,True
-1.5931029798019962,-1.3310314196365653,False
-4.153538278857013,-2.7406915122780693,False
-5.51162306801416,-5.165369202484726,False
-3.0288506344014814,-4.608492845856484,True
-2.4218074677110053,-3.2529092924078213,True
-0.9676879888866097,-1.3590285606129329,True
-2.953989910085511,-2.518655647970445,False
-0.5221398640900258,-1.2834453501325862,True
-0.0742832756278893,-1.0701610746182268,True
-0.5342916640881661,-0.8120022227389696,True
-0.7089803641230735,-1.5370582870977656,True
-0.9799767509461023,-1.1958012617497633,True
-1.2542412984576703,-2.029437719051762,True
-0.6801328752961127,-2.357165550159819,True
-1.0171278054979969,-2.908339980622486,True
-0.558050496755062,-0.920407908653777,True
-1.0507567306954622,-2.8397593196698128,True
-5.113520464753189,-3.6335695371704384,False
-5.113520464753189,-4.13831042686652,False
-2.217915431496554,-5.136964866193011,True
-2.217915431496554,-2.881745080758507,True
-1.7903749948123329,-2.055981976460316,True
-1.873348824143856,-0.9799741194583476,False
-1.478262340898315,-1.6006278902292252,True
-1.7903749948123329,-2.2319571047426305,True
-0.5877931372378953,-1.1241137355431088,True
-1.2182234971939276,-1.8508029119228013,True
-1.5025011399162136,-0.9767940701193376,False
-2.1644670741443406,-1.727297343079408,False
-1.462189165560024,-2.1677188874891726,True
-2.064021145970037,-2.1940531451560674,True
-2.6645699354590358,-3.3460690790299044,True
-1.3951197885585966,-1.018305718263686,False
-2.7922728116497058,-2.7869347556499466,False
-1.299092346074758,-0.955324979967069,False
-0.6624307157168611,-0.6769668939899324,True
-1.462189165560024,-2.289204998719571,True
-2.064021145970037,-2.6326810311118605,True
-2.6645699354590358,-2.73070999943302,True
-1.4845032246838938,-1.2028579263812087,False
-1.4719170399854193,-1.1904873361993602,False
-1.0798642389353417,-0.9070550109301823,False
-2.0415683595769223,-2.035451284030569,False
-1.044944073919109,-2.4689082881309066,True
-1.4326406027015763,-1.985198606913602,True
-0.7310726696754997,-1.4226201741323827,True
-0.9001660851881752,-1.9824640109166336,True
-1.3557087636373277,-2.228165507578524,True
-2.2621278947231724,-4.2572454783670155,True
-1.3106294905086735,-1.4140080438194085,True
-1.0780700882848275,-1.8726050002051124,True
-1.946684767217341,-2.1870789378668025,True
-0.6702505169098578,-1.653396884458797,True
-1.4019194168981306,-2.6620926445393707,True
-1.45505274947808,-1.8722369890019763,True
-1.8073717727689655,-2.4851929850640437,True
-0.9919404733067495,-1.484967288385087,True
-0.736809304708408,-2.067593157196825,True
-1.1270355963326224,-1.6318860350228432,True
-0.7488830797843143,-1.4387495337545664,True
-0.7488830797843143,-1.2307190202289562,True
-0.8828567587625002,-1.8129550422299872,True
-0.46713400116491627,-1.1298026493768702,True
-2.309689423878138,-2.571684545298156,True
-1.5251577351940795,-2.334324925516021,True
-1.0665806436550662,-1.989534280182852,True
-2.1699570517064006,-3.5642813206001076,True
-1.8716143979503872,-2.269602827408212,True
-1.0418943149205815,-1.742982044312157,True
-1.2821762811768818,-2.6512532437470955,True
-0.8462886231209268,-1.6812388361198827,True
-1.3034629998340581,-1.8436174975119202,True
-1.67149524481543,-3.022484812059422,True
-1.388624969209419,-2.454077827181512,True
-1.7528352212438432,-2.825096921340446,True
-0.4878002284155962,-1.369365261751227,True
-3.870238223816089,-2.8022749864363243,False
-3.870238223816089,-4.167296541414024,True
-3.870238223816089,-2.2392226830939763,False
-4.2736616750901,-6.173397183038212,True
-1.9764870920562922,-3.1124650496297233,True
-0.5827388449601131,-1.2112780949745294,True
-1.4722110813857467,-2.5476195727824233,True
-0.9142124124472806,-1.5596855369255467,True
