RobBERT_corr_score,RobBERT_wrong_score,RobBERT_right
-11.921846508979797,-11.766845597161186,False
-11.78010106086731,-11.899178409576416,True
-12.6609548330307,-12.135380983352661,False
-11.789985762702095,-11.807237148284912,True
-12.106696552700466,-12.138439496358236,True
-12.71621060371399,-12.381855249404907,False
-12.064528822898865,-11.732503771781921,False
-12.966749906539917,-12.444937586784363,False
-11.895217418670654,-11.512972116470337,False
-12.358214187622071,-12.5125412940979,True
-11.891447067260742,-12.287245273590088,True
-11.661764740943909,-11.56537640094757,False
-11.901535391807556,-12.336842748853895,True
-13.100176692008972,-12.665127372741699,False
-11.920902933393206,-12.225375652313232,True
-11.286874675750733,-11.82697514125279,True
-11.286874675750733,-12.571064352989197,True
-12.463865688868932,-12.43022346496582,False
-11.947458948407855,-12.37151845296224,True
-11.92074693952288,-11.761102517445883,False
-12.478180779351128,-12.251902103424072,False
-11.358650616237096,-11.048017183939615,False
-11.548180792066786,-12.104635079701742,True
-12.800626482282366,-12.642433166503906,False
-11.510825037956238,-11.581356207529703,True
-12.892345837184362,-13.067452112833658,True
-12.115341322762626,-11.814313530921936,False
-12.80545687675476,-12.189533805847168,False
-12.414036273956299,-12.269792938232422,False
-11.980724215507507,-11.693217515945435,False
-11.326807975769043,-11.87861692905426,True
-12.008541954888237,-12.643206702338325,True
-11.317166996002197,-12.201329469680786,True
-11.697237610816956,-12.448004245758057,True
-12.0723717212677,-11.469051467047798,False
-12.760688066482544,-13.454055922372001,True
-13.499631987677681,-13.014823627471923,False
-11.886519432067871,-11.484964582655165,False
-11.484148740768433,-11.912492036819458,True
-12.445622205734253,-11.923569679260254,False
-11.796594321727753,-11.097138934665256,False
-11.916674017906189,-11.993925836351183,True
-11.395219922065735,-11.769526269700792,True
-11.930013656616211,-11.37574185265435,False
-12.353646278381348,-11.88701417711046,False
-12.131699668036568,-11.813928604125977,False
-11.983290672302246,-12.263080869402204,True
-12.27207088470459,-12.70623220716204,True
-11.90478241443634,-12.51350770677839,True
-12.685069799423218,-13.372590609959193,True
-12.599926948547363,-12.891171182904925,True
-11.832108855247498,-12.41823673248291,True
-12.143070459365845,-12.537222862243652,True
-12.442501902580261,-12.777753557477679,True
-13.241582012176513,-13.129829216003419,False
-12.319148540496826,-11.964896440505981,False
-12.298615336418152,-11.81367826461792,False
-12.38812506198883,-11.802326917648315,False
-12.995067596435547,-12.528901815414429,False
-12.824424266815186,-12.309237241744995,False
-11.858734726905823,-12.665795053754534,True
-12.545644555773054,-12.503923620496478,False
-12.693266034126282,-12.834249138832092,True
-13.036198806762695,-12.970087146759033,False
-13.05627367231581,-13.152321815490723,True
-12.064112663269043,-12.007948398590088,False
-12.004934191703796,-12.142263293266296,True
-12.010150909423828,-12.12226390838623,True
-12.060584306716919,-11.839017271995544,False
-11.969845652580261,-11.29664389292399,False
-12.031551241874695,-12.095867792765299,True
-11.865206360816956,-11.739381154378256,False
-11.636901378631592,-11.620099385579428,False
-11.973751068115234,-11.7963148355484,False
-12.172967672348022,-12.431693434715271,True
-11.916512846946716,-11.686481952667236,False
-12.223031520843506,-11.66594476699829,False
-12.917145371437073,-12.041663646697998,False
-12.472044110298157,-11.948580741882324,False
-11.930867433547974,-12.175184522356306,True
-12.045884370803833,-11.859199285507202,False
-12.226979970932007,-11.776250958442688,False
-12.431028246879578,-12.35789179801941,False
-12.194819450378418,-12.423434257507324,True
-12.040488243103027,-12.349638041327982,True
-11.459974357060023,-12.112039932837853,True
-11.633882204691568,-11.95141329084124,True
-11.414661026000976,-12.068800313132149,True
-11.44722046170916,-11.863948675302359,True
-11.634552597999573,-12.257997194925943,True
-11.557225451749915,-11.94413411617279,True
-11.531443786621093,-11.866253307887487,True
-11.688908696174622,-12.198805809020996,True
-11.805772018432616,-12.046792915889196,True
-11.545459611075264,-11.862396240234375,True
-11.638133347034454,-12.237659708658855,True
-11.88657029469808,-12.385699612753731,True
-11.505421702067057,-11.857278891972133,True
-11.605364926656087,-12.163297516959053,True
-11.491102354867119,-11.89993352156419,True
-11.7461678981781,-12.274534797668457,True
-11.575507913316999,-11.995660121624287,True
-11.634552597999573,-12.257997194925943,True
-11.531443786621093,-11.866253307887487,True
-11.75469544728597,-12.069694110325404,True
-11.71871992746989,-12.0469023840768,True
-11.549981934683663,-11.990809367253231,True
-11.49000072479248,-11.88804267002986,True
-11.805772018432616,-12.046792915889196,True
-11.705245463053386,-12.182793276650566,True
-11.427677266737994,-11.682675957679749,True
-10.858607663048637,-10.95865114997415,True
-11.717571385701497,-12.230400494166783,True
-11.913009113735622,-12.389537418589873,True
-11.803310267130534,-12.34366968699864,True
-11.531443786621093,-11.866253307887487,True
-11.777188046773274,-12.098137855529785,True
-11.203928538731166,-11.862235802870531,True
-12.010195868355888,-12.520757308373085,True
-11.926416206359864,-12.419068677084786,True
-11.615731688106761,-12.259278297424316,True
-11.19437484741211,-11.668590681893486,True
-11.385702814374651,-11.841638711782602,True
-11.264910357339042,-12.036425737234262,True
-11.578196334838868,-12.199390615735735,True
-11.826689783732096,-12.172617639814105,True
-11.121265479496547,-11.7209928219135,True
-11.29820898600987,-11.811970930833082,True
-11.136854553222657,-11.569132328033447,True
-11.18852412700653,-11.537500381469727,True
-11.428154706954956,-12.045720926920573,True
-11.617590967814127,-11.981628622327532,True
-11.633882204691568,-11.95141329084124,True
-10.940157063802083,-11.654659679957799,True
-12.13089328342014,-12.243460369110107,True
-12.054349119013006,-12.247878594831986,True
-13.079183048672146,-12.827457237243653,False
-12.503452587127686,-12.188594644719904,False
-12.060909032821655,-12.38727970123291,True
-12.274098992347717,-12.15309206644694,False
-12.350698566436767,-12.165742960843174,False
-12.212491035461426,-11.725055347789418,False
-12.398906230926514,-12.544152365790474,True
-11.353639602661133,-11.355261219872368,True
-12.340066685396081,-12.375081910027397,True
-11.791094376490665,-11.692430973052979,False
-11.208898973464965,-11.348282178243002,True
-11.585775746239555,-11.358550667762756,False
-12.417893106287176,-12.319478532542353,False
-12.121534705162048,-11.588002464988016,False
-11.913067595163982,-11.99482957054587,True
-13.167445616288619,-12.690295652909713,False
-11.606115341186523,-11.674499320983887,True
-12.160632133483887,-11.940607176886665,False
-12.553233691624232,-12.431867258889335,False
-12.20886499231512,-12.37770921533758,True
-11.346680414109002,-11.282001177469889,False
-11.457244445537698,-11.884880352020264,True
-11.97081937789917,-11.939892595464533,False
-11.991904258728027,-12.52102314342152,True
-12.965477307637533,-12.565628051757812,False
-12.926562213897705,-12.717501987110484,False
-11.456669807434082,-11.207805633544922,False
-12.770731735229493,-12.776982654224742,True
-11.542350133260092,-11.361938036405123,False
-11.58548641204834,-11.543724536895752,False
-11.809143673289906,-11.789853876287287,False
-12.27333966007939,-12.380804891939517,True
-11.82224361984818,-11.952580630779266,True
-11.981692776535496,-12.040670799486564,True
-11.555927929125334,-11.917713562647501,True
-11.677855420995641,-11.711086485120985,True
-12.49848058488634,-12.119329452514648,False
-11.862326277626885,-11.734465265274048,False
-11.851772117614747,-11.75729128519694,False
-11.666645805040995,-11.62302068563608,False
-11.379492899950813,-11.75756221347385,True
-12.858482224600655,-12.171387434005737,False
-12.321750504629952,-12.04669964313507,False
-12.67447008405413,-13.030317851475306,True
-11.520573854446411,-12.169260025024414,True
-12.400262753168741,-12.32511556148529,False
-12.01009526460067,-11.453429630824498,False
-12.806981921195984,-11.92690806918674,False
-11.8177705177894,-11.678139246427095,False
-11.8177705177894,-11.746534494253305,False
-11.8177705177894,-11.767087642963116,False
-11.8177705177894,-11.688665096576397,False
-11.864557160271538,-11.855943149990505,False
-11.236721390172056,-11.217052509910182,False
-11.278693299544486,-11.201783230430202,False
-11.948536574840546,-11.722461419947008,False
-12.045125325520834,-12.129613431294759,True
-12.597567471590908,-12.389852205912272,False
-11.925698193636807,-11.810680736194957,False
-12.271405480124734,-12.189665014093572,False
-11.972586024891246,-12.05980110168457,True
-12.657230463894932,-12.610292347994717,False
-12.126928170522055,-11.961268583933512,False
-12.211019515991211,-12.136679475957697,False
-11.594226056879217,-11.715518604625355,True
-12.411442120869955,-12.469123760859171,True
-11.59135714444247,-11.909334963018244,True
-11.41121252377828,-11.398046493530273,False
-12.18561315536499,-12.001374244689941,False
-11.617266654968262,-11.542235692342123,False
-11.478131380948154,-11.569911436601119,True
-11.854903481223367,-11.931845144792037,True
-11.748690084977584,-11.626511400396174,False
-12.457771994850852,-12.349084940823642,False
-11.488913622769443,-11.549516504461115,True
-12.099450198086826,-12.172664815729314,True
-12.578120318326084,-12.569256349043412,False
-11.731844121759588,-11.837023735046387,True
