RobBERT_large_corr_score,RobBERT_large_wrong_score,RobBERT_large_right
-13.25730515188641,-13.960280471377903,True
-14.738226322664154,-15.473290911979145,True
-11.541863098740578,-12.425743891133202,True
-15.400554649531841,-16.12079105526209,True
-15.882257282733917,-19.062337194170272,True
-10.697640857526235,-10.054092793592385,False
-12.537723263104757,-11.63817654715644,False
-12.36198474764824,-12.884297336265444,True
-10.663936100993306,-10.950142711983062,True
-11.261883325874805,-11.615996215026826,True
-14.994436748325825,-15.843295484781265,True
-14.405557123944163,-15.533032968640327,True
-14.723388530313969,-16.265011072158813,True
-14.578977026045322,-13.287777649031746,False
-15.211139231920242,-14.510302080048454,False
-14.630458422005177,-12.702154831890947,False
-15.195207454264164,-14.0982164144516,False
-15.239789977669716,-13.664633949597677,False
-14.125911746174097,-13.047854807641771,False
-14.811568040400743,-13.48792650964525,False
-12.13055654697948,-12.851963448524476,True
-13.140960102279982,-13.990972164604399,True
-13.799930311739445,-14.853590562939644,True
-14.679715424776077,-18.06841959272112,True
-14.758858181536198,-13.488012340333727,False
-15.841656312346458,-16.67172921821475,True
-14.933687211945653,-16.164500296115875,True
-14.963082417845726,-15.586242496967316,True
-8.892627408492109,-9.441449439481778,True
-9.806499221445847,-11.480691518102374,True
-8.93287418804111,-10.167055702209472,True
-10.469271446447237,-11.71972166640418,True
-10.43869263328088,-11.515787780284882,True
-8.822671969401805,-9.151278640027158,True
-7.760073788892968,-9.201327932231566,True
-8.970730744074578,-9.849398887778323,True
-9.627429525066605,-10.500172956784565,True
-9.159720605992334,-10.270928866096906,True
-9.762915034254547,-11.05743156160627,True
-9.694652004013358,-10.86490200360616,True
-8.76434769832036,-10.243797246615092,True
-10.113183995941654,-11.3891601392201,True
-9.660039533258361,-10.435084788004557,True
-9.559752178694907,-10.909727675574166,True
-9.626780386658057,-10.489812092979749,True
-9.707523114950163,-11.048983352524894,True
-8.822671969401805,-9.151278640027158,True
-8.970730744074578,-9.849398887778323,True
-9.019914471142007,-9.723111175497372,True
-10.903086001864722,-11.560995374407087,True
-10.42549364476387,-11.907599475521307,True
-10.50825482554501,-11.765091755560466,True
-9.159720605992334,-10.270928866096906,True
-10.230861703111955,-10.88348035266002,True
-9.464112633695347,-9.999397604493424,True
-7.487137639452703,-8.334374072237146,True
-8.679571859475212,-9.682803700864316,True
-8.605054026733054,-9.086860293632045,True
-9.419512902095448,-10.511283457279205,True
-8.970730744074578,-9.849398887778323,True
-10.866073421175209,-11.80842628479004,True
-10.543554511139519,-11.791544956820351,True
-10.237591851942852,-12.107933938503265,True
-8.96880354222102,-10.311542598406474,True
-9.854623072838876,-9.790527449222282,False
-10.522729394357157,-11.02224791023348,True
-9.719446571878507,-10.945877070937838,True
-11.290370126728279,-12.031616275127117,True
-9.870172189474996,-10.491555120547613,True
-9.121135962733259,-10.095675386488438,True
-10.25551947160784,-11.305525958538055,True
-11.156247395243554,-11.675066479614802,True
-9.446842437767533,-10.280644210179647,True
-9.521450119805248,-10.2485984146595,True
-10.08040696070598,-10.952092386285464,True
-8.586223354491974,-9.11394210299477,True
-8.93287418804111,-10.167055702209472,True
-10.406991654621379,-11.509185288633619,True
-13.880394180615744,-13.673280286788941,False
-13.238067800348455,-13.070398807525635,False
-10.900891377404331,-13.486255764961243,True
-12.659122133255005,-11.749391190369021,False
-14.907782703638077,-13.481233358383179,False
-13.984556039174398,-14.802550262875027,True
-10.790842793204568,-11.640296629884027,True
-14.122978866100311,-11.476490828123959,False
-12.924351268344456,-14.612158245510525,True
-8.341653152077924,-7.801696605307774,False
-10.41658528236782,-9.944228028257688,False
-7.3107458858191965,-11.501253119923852,True
-8.294404341415925,-11.877861298047579,True
-8.926597873059412,-10.617651527980343,True
-5.6781713562491145,-5.712772446742747,True
-12.126502233660883,-11.609569355185764,False
-5.979171777346798,-9.623945673927665,True
-8.059885732256449,-8.947037826363857,True
-7.616142876446247,-9.694894391174119,True
-6.980488778977208,-13.905270444022285,True
-7.0753683086368255,-7.064801491505932,False
-9.649872507730668,-10.482401343909176,True
-6.323243639219309,-8.626285679638386,True
-6.4195201293693795,-9.224071962758899,True
-10.118814014575698,-12.624520973725753,True
-9.52721446646716,-9.522137103813954,False
-10.084039451926946,-11.520109775662423,True
-9.627862681042064,-11.463915965773843,True
-10.809929122527441,-11.435031940539679,True
-9.553642982786352,-11.236429490826346,True
-7.990965282544494,-8.74149538689692,True
-8.813927463921052,-10.298886159291634,True
-10.813521815971894,-11.783651850440286,True
-6.648981838538829,-7.051229052107643,True
-7.416992551767854,-8.165125972810475,True
-4.236464892841272,-4.729023440425997,True
-7.1896533168068055,-10.613070389876762,True
-5.590603623397848,-6.494491681536219,True
-10.141502162907273,-12.391288281977177,True
-4.687397141261802,-7.670280516624916,True
-7.57134480488797,-8.164449474417294,True
-5.443672632001555,-11.11335951089859,True
-8.702032757156035,-14.318537659115261,True
-13.511256486177444,-14.276723742485046,True
-14.12711831501552,-14.936030775308609,True
-13.788112572261266,-12.983140536717006,False
-8.783562835375779,-17.596871376037598,True
-9.30890142917633,-12.408938786014915,True
-7.721400850762923,-15.126510083675385,True
-13.026711523532867,-10.889289248372531,False
-8.575785248839695,-9.104988716575983,True
-8.575785248839695,-9.260007734410465,True
-8.575785248839695,-7.6935358577008754,False
-8.575785248839695,-9.279118465392717,True
-6.493383252797158,-6.993639940003815,True
-6.789955283735732,-6.517393705085851,False
-7.16883662093345,-6.908475168125925,False
-6.828722757722062,-7.573786425349467,True
-7.899196610786021,-8.454094460234046,True
-9.949217665319642,-9.722536039753603,False
-8.925051570103582,-8.975327171074847,True
-9.881861256983635,-11.189909852080746,True
-9.152425177531162,-10.06996380892815,True
-10.114837768953294,-10.547100727135936,True
-9.3394231347797,-9.30287662291756,False
-10.318395869185528,-11.349618017673492,True
-10.434611795314899,-11.290344877401367,True
-8.123379512045245,-8.73897393180344,True
-10.467443415895104,-11.34091247121493,True
-10.15232006775645,-10.006426449865103,False
-8.506151787650127,-8.320006641666764,False
-9.369589895009995,-10.635517129531273,True
-9.898212231695652,-10.04380320260922,True
-10.281686536967754,-10.146178973838687,False
-10.23252322524786,-11.324155330657959,True
-9.900617855290571,-11.234302387572825,True
-9.608087084324021,-10.0424545686692,True
-9.866513141741356,-11.297236979007721,True
-9.89268172318892,-10.566006553553356,True
-9.906453573911373,-10.457034026117375,True
-8.655395915465695,-8.767721710992712,True
-9.594116392187201,-10.079519126277704,True
-9.745076518559541,-10.124595335469795,True
-6.597673726411393,-8.866867914995444,True
-10.017949104309082,-10.162962124897884,True
-9.167017064558772,-9.859289228343046,True
-8.744373924385469,-8.84850419484652,True
-8.855333225735064,-9.94444927440158,True
-9.864336662615338,-10.862293384969234,True
-9.135180031450895,-9.40836867575462,True
-9.326751997570197,-9.450329050421715,True
-6.960397748933995,-7.090763077687691,True
-8.256599844832506,-8.475407243307147,True
-8.621873293444514,-8.946014411002398,True
-7.959490838053171,-8.069306005141698,True
-7.84460065316628,-8.129353996585397,True
-8.353395714083065,-8.824249616327386,True
-9.001575280870643,-9.11273584860776,True
-8.311640507588162,-8.386460645558934,True
-8.01937244128203,-8.651761147659272,True
-13.547832563519478,-13.059553411271837,False
-11.514593982696534,-10.963231440294873,False
-10.078382044448517,-10.618037901141427,True
-11.656197780370713,-10.595365575091405,False
-10.445950170047581,-9.961488392920447,False
-12.508944610754648,-11.168629732728004,False
-15.44869840145111,-13.13603131638633,False
-10.511936169795014,-8.43805657694715,False
-9.836535644096633,-11.328838601087531,True
-10.44593887979334,-11.296852111816406,True
-13.83193276822567,-13.277847475475735,False
-14.7434953302145,-13.249447690116035,False
-15.163408979773521,-14.340746561686197,False
-14.619850158691406,-12.923978633350796,False
-15.14603704214096,-12.160681557655334,False
-15.208263516426086,-13.783007356855604,False
-15.59897917509079,-11.874191534519195,False
-7.6013704325111275,-7.681065470484707,True
-8.157961433075423,-8.357449542909094,True
-7.608319570756673,-7.740981198536853,True
-9.024203154405889,-9.21036283475502,True
-8.210972511110253,-8.492189111564691,True
-9.911883640443028,-11.807360620661216,True
-9.000796390593072,-9.838990357059698,True
-11.370148066071454,-12.186852411790328,True
-8.170454837630192,-9.254429307828348,True
-8.876371451795091,-10.377470677887851,True
-10.549103844851329,-11.656448597935112,True
-9.990319537049139,-10.61505177676339,True
-7.917442491247236,-8.022415017106516,True
-8.491666390633327,-8.723878774988407,True
-8.56571431151436,-8.71159725995191,True
-11.919426181912423,-12.282159273326396,True
-9.192625791179792,-9.400454457558226,True
-9.018759242332695,-9.237657569244039,True
-8.487654107346316,-8.613154661601584,True
-9.82487110455598,-9.47603258966701,False
-8.200627959973644,-8.261551050884009,True
-8.374022706280812,-8.50936592616199,True
-9.043958737371334,-8.819807274849154,False
-8.99096171982431,-9.053324116789735,True
-8.894011486135422,-8.961052323672144,True
-7.997339519284044,-8.555910032397756,True
-9.529486148455446,-9.978773064911366,True
-8.393335758829684,-8.925351113119783,True
-7.593194290597099,-8.983889105111862,True
-6.01760478199576,-5.914077387175833,False
-6.920763116816358,-7.670253644131923,True
-8.974979612806981,-9.762650159356946,True
-6.3875304343476795,-6.617644912835614,True
-15.945154845714569,-17.674674374716624,True
-10.123494238282243,-11.473426959054036,True
-6.823395088137615,-6.356764794941145,False
-11.32583692931803,-10.091933933050873,False
-8.444431824036515,-8.218389758016981,False
-8.772457840464389,-8.951148815349573,True
-8.841829494635265,-9.047293192520737,True
-11.127700282977177,-10.174955170888166,False
-9.392542344179343,-9.128136561562618,False
-13.176105724275113,-11.903629078106446,False
-11.446362778544426,-10.720539825658003,False
-11.318080148913644,-10.508880423381925,False
-11.763345217642685,-12.109473005286418,True
-11.314483035355806,-13.474212650623587,True
-8.157890849164687,-9.717205908273657,True
-10.223902598178634,-10.64261668920517,True
-7.752710696862778,-8.395862533710897,True
-7.605340862058495,-6.70958979986608,False
-7.208961718301806,-8.19770216776265,True
-7.355964474113924,-8.806925726847517,True
-6.543964004376903,-7.997378940669526,True
-8.381310226101624,-9.018858577075758,True
-11.62109629975425,-11.444320806860924,False
-8.775624742874733,-7.752841146862401,False
-9.663843935498825,-10.014894280869227,True
-10.030097448535694,-10.32550433722253,True
-11.001048168788353,-10.80269821640104,False
-10.55379349806092,-11.475357283651828,True
-9.801805591533103,-9.983150230577358,True
-13.27333120505015,-17.614229815346853,True
-9.818087129920189,-7.0310213731478575,False
-9.737127337205623,-6.850200388279251,False
-10.321197218161874,-7.139796687440728,False
-12.297221996567465,-10.975332126642266,False
-11.683294434439052,-10.397639305641254,False
-8.64722155513508,-9.000295379332133,True
-8.64722155513508,-8.764997356970396,True
-9.371311421577747,-9.584343204131493,True
-6.369124120566994,-6.7148884870305965,True
-8.327712961286306,-8.436055644104878,True
-6.4858462357919455,-11.032601936296983,True
-9.50620002586108,-9.303619832946705,False
-8.092212466194349,-9.02219157222481,True
-7.660618400928797,-7.282283526146784,False
-5.146304672911356,-5.161576293881808,True
-6.7367764378286665,-6.7386022007431166,True
-8.196290481090546,-8.82601201981306,True
-8.528673753142357,-8.440456619486213,False
-9.729205408921608,-9.081703575184711,False
-8.546904989580314,-8.509364485740662,False
-12.079707687551325,-12.227127309549939,True
-9.067363997052114,-9.876292867958545,True
-9.68052236150418,-10.823827067460766,True
-12.022349661046809,-11.871354601599954,False
-10.886641378429802,-10.776505538093096,False
-13.599134739902285,-14.019548416137695,True
-12.405041441321373,-12.07797955274582,False
-10.908229287375104,-11.481014538048344,True
-11.93025838136673,-11.822147439792753,False
-10.614327571608804,-11.451217091896318,True
-10.400784666721638,-10.209651955618309,False
-13.545583645502726,-12.212597469488779,False
-8.781479417496096,-9.616114358550735,True
-8.781479417496096,-10.503820547834039,True
-9.520078499093264,-10.472558628166249,True
-9.520078499093264,-10.876530905952677,True
-7.723084116859051,-9.337673150002956,True
-10.45783949127564,-11.032255469606472,True
-15.468341082334518,-15.926795423030853,True
-9.407431363516176,-8.371856292709708,False
-9.05989480853168,-9.894005293982142,True
-8.224211197843154,-8.028831224950652,False
-7.957007942651399,-8.266862874408252,True
-15.028523653745651,-16.087960094213486,True
-7.841160843685632,-8.007093408473237,True
-6.797399627423147,-7.235006209142739,True
-6.802783008317117,-7.616330449895638,True
